index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 16:48:13.076, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:48:23.078, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:48:33.081, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:48:43.082, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:48:53.083, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:49:03.084, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:49:13.086, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:49:23.087, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:49:33.088, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:49:43.092, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:49:53.093, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:50:03.096, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:50:13.098, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:50:23.099, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:50:33.100, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:50:43.101, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:50:53.102, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:51:03.103, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:51:13.104, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:51:23.105, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:51:33.106, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:51:43.107, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:51:53.108, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:52:03.109, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:52:13.110, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:52:23.111, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:52:33.112, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:52:43.113, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:52:53.114, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:53:03.115, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:53:13.116, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:53:23.118, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:53:33.119, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:53:43.123, 0 %, 32768 MiB, 32501 MiB, 0 MiB
